keyword,raw_counts,frequency,keyness
審理,7,0.01639344262295082,0.0
刑事,6,0.01405152224824356,0.0
司法,6,0.01405152224824356,0.0
案件,6,0.01405152224824356,0.0
大法官,5,0.0117096018735363,0.0
修正,4,0.00936768149882904,0.0
審判,4,0.00936768149882904,0.0
我國,4,0.00936768149882904,0.0
程序,4,0.00936768149882904,0.0
落實,4,0.00936768149882904,0.0
公決,3,0.00702576112412178,0.6000000000000001
原則,3,0.00702576112412178,0.0
委員,3,0.00702576112412178,0.0
尤美女,3,0.00702576112412178,0.0
推定,3,0.00702576112412178,0.6000000000000001
是否,3,0.00702576112412178,0.0
本院,3,0.00702576112412178,0.6000000000000001
柯建銘,3,0.00702576112412178,0.6000000000000001
權,3,0.00702576112412178,0.0
法,3,0.00702576112412178,0.0
無罪,3,0.00702576112412178,0.0
當,3,0.00702576112412178,0.0
草案,3,0.00702576112412178,0.0
且,2,0.00468384074941452,0.0
亦,2,0.00468384074941452,0.0
人權,2,0.00468384074941452,0.0
人民,2,0.00468384074941452,0.0
保護,2,0.00468384074941452,0.0
保障,2,0.00468384074941452,0.0
制度,2,0.00468384074941452,0.0
化,2,0.00468384074941452,0.0
參與,2,0.00468384074941452,0.0
司法權,2,0.00468384074941452,0.4
司法院,2,0.00468384074941452,0.0
吳宜,2,0.00468384074941452,0.4
國民,2,0.00468384074941452,0.0
對於,2,0.00468384074941452,0.0
強化,2,0.00468384074941452,0.0
必要,2,0.00468384074941452,0.0
憲法,2,0.00468384074941452,0.0
提出,2,0.00468384074941452,0.0
提升,2,0.00468384074941452,0.0
敬請,2,0.00468384074941452,0.0
條文,2,0.00468384074941452,0.0
檢討,2,0.00468384074941452,0.0
潘孟安,2,0.00468384074941452,0.4
爰,2,0.00468384074941452,0.2
相關,2,0.00468384074941452,0.0
維護,2,0.00468384074941452,0.0
臻,2,0.00468384074941452,0.0
處,2,0.00468384074941452,0.0
訴訟法,2,0.00468384074941452,0.4
變革,2,0.00468384074941452,0.0
辯護,2,0.00468384074941452,0.0
迄今,2,0.00468384074941452,0.4
違憲,2,0.00468384074941452,0.0
三,1,0.00234192037470726,0.0
不僅,1,0.00234192037470726,0.0
不合時宜,1,0.00234192037470726,0.0
不易,1,0.00234192037470726,0.0
不足以,1,0.00234192037470726,0.0
之一環,1,0.00234192037470726,0.2
予以,1,0.00234192037470726,0.0
二,1,0.00234192037470726,0.0
以來,1,0.00234192037470726,0.0
以期,1,0.00234192037470726,0.0
件,1,0.00234192037470726,0.0
低落,1,0.00234192037470726,0.0
作為,1,0.00234192037470726,0.0
依舊,1,0.00234192037470726,0.0
促進,1,0.00234192037470726,0.0
信任度,1,0.00234192037470726,0.2
信賴,1,0.00234192037470726,0.0
全國,1,0.00234192037470726,0.0
全面,1,0.00234192037470726,0.0
公布,1,0.00234192037470726,0.0
其,1,0.00234192037470726,0.0
其他,1,0.00234192037470726,0.0
凡此,1,0.00234192037470726,0.2
刪除,1,0.00234192037470726,0.0
制定,1,0.00234192037470726,0.0
副總統,1,0.00234192037470726,0.0
劉,1,0.00234192037470726,0.0
功能,1,0.00234192037470726,0.0
加強,1,0.00234192037470726,0.0
即,1,0.00234192037470726,0.0
受理,1,0.00234192037470726,0.0
吳秉叡,1,0.00234192037470726,0.2
四,1,0.00234192037470726,0.0
均,1,0.00234192037470726,0.0
基石,1,0.00234192037470726,0.0
境地,1,0.00234192037470726,0.0
增修,1,0.00234192037470726,0.2
增訂,1,0.00234192037470726,0.0
增進,1,0.00234192037470726,0.0
大眾,1,0.00234192037470726,0.0
實務,1,0.00234192037470726,0.0
實踐,1,0.00234192037470726,0.0
審結,1,0.00234192037470726,0.2
尚未,1,0.00234192037470726,0.0
已達,1,0.00234192037470726,0.2
