keyword,raw_counts,frequency,keyness
條文,5,0.031055900621118012,0.0
年度,4,0.024844720496894408,0.0
會計,4,0.024844720496894408,0.0
申報,4,0.024844720496894408,0.0
月,3,0.018633540372670808,0.0
交易法,2,0.012422360248447204,0.0
修訂,2,0.012422360248447204,0.0
內,2,0.012422360248447204,0.0
內部,2,0.012422360248447204,0.0
公決,2,0.012422360248447204,0.4
同步,2,0.012422360248447204,0.0
商業,2,0.012422360248447204,0.0
國際,2,0.012422360248447204,0.0
報告,2,0.012422360248447204,0.0
委員,2,0.012422360248447204,0.0
控制,2,0.012422360248447204,0.0
提案,2,0.012422360248447204,0.0
敬請,2,0.012422360248447204,0.0
日期,2,0.012422360248447204,0.0
是否,2,0.012422360248447204,0.0
會計法,2,0.012422360248447204,0.4
期限,2,0.012422360248447204,0.0
本院,2,0.012422360248447204,0.4
條,2,0.012422360248447204,0.0
爰,2,0.012422360248447204,0.2
當,2,0.012422360248447204,0.0
終了,2,0.012422360248447204,0.0
聲明書,2,0.012422360248447204,0.0
證券,2,0.012422360248447204,0.0
財務,2,0.012422360248447204,0.0
費鴻泰,2,0.012422360248447204,0.4
鑒於,2,0.012422360248447204,0.0
三,1,0.006211180124223602,0.0
不合時宜,1,0.006211180124223602,0.0
以使,1,0.006211180124223602,0.2
企業,1,0.006211180124223602,0.0
使,1,0.006211180124223602,0.0
修正,1,0.006211180124223602,0.0
公司,1,0.006211180124223602,0.0
唯,1,0.006211180124223602,0.0
四,1,0.006211180124223602,0.0
因應,1,0.006211180124223602,0.0
應,1,0.006211180124223602,0.0
我國,1,0.006211180124223602,0.0
接軌,1,0.006211180124223602,0.2
改為,1,0.006211180124223602,0.0
日,1,0.006211180124223602,0.0
未,1,0.006211180124223602,0.0
檢討,1,0.006211180124223602,0.0
每,1,0.006211180124223602,0.0
民國,1,0.006211180124223602,0.0
準則,1,0.006211180124223602,0.0
發展,1,0.006211180124223602,0.0
盧秀燕,1,0.006211180124223602,0.2
第三十六,1,0.006211180124223602,0.0
第十四,1,0.006211180124223602,0.0
羅淑,1,0.006211180124223602,0.0
蕾等,1,0.006211180124223602,0.2
處理,1,0.006211180124223602,0.0
衝擊,1,0.006211180124223602,0.0
規定,1,0.006211180124223602,0.0
趨勢,1,0.006211180124223602,0.0
適用,1,0.006211180124223602,0.0
部分,1,0.006211180124223602,0.0
降低,1,0.006211180124223602,0.0
陳淑慧,1,0.006211180124223602,0.2
