keyword,raw_counts,frequency,keyness
條,97,0.008895818048422597,0.0
本法,80,0.007336757153338224,16.0
是否,72,0.006603081438004402,0.0
委員,71,0.006511371973587674,0.0
當,70,0.006419662509170946,0.0
公決,68,0.0062362435803374906,13.600000000000001
敬請,68,0.0062362435803374906,0.8
本院,68,0.0062362435803374906,13.600000000000001
爰,68,0.0062362435803374906,6.800000000000001
賴士葆,67,0.006144534115920763,13.4
機關,56,0.005135730007336757,0.0
權益,49,0.004493763756419663,0.0
者,48,0.004402054292002935,0.0
提案,47,0.004310344827586207,0.0
針對,47,0.004310344827586207,0.0
其,46,0.004218635363169479,0.0
明定,43,0.003943506969919295,0.4
修正,42,0.003851797505502568,0.0
有鑑於此,41,0.00376008804108584,0.4
規範,40,0.003668378576669112,0.0
應,38,0.003484959647835657,0.0
政府,36,0.003301540719002201,0.0
且,35,0.003209831254585473,0.0
保障,34,0.0031181217901687453,0.0
現行,31,0.002842993396918562,0.0
主管,29,0.0026595744680851063,0.0
社會,29,0.0026595744680851063,0.0
相關,28,0.0025678650036683784,0.0
對於,27,0.0024761555392516506,0.0
規定,27,0.0024761555392516506,0.0
人民,25,0.0022927366104181952,0.0
資訊,25,0.0022927366104181952,0.0
企業,24,0.0022010271460014674,0.0
法律,24,0.0022010271460014674,0.0
資料,24,0.0022010271460014674,0.0
個人,23,0.0021093176815847395,0.0
服務,23,0.0021093176815847395,0.0
信託,21,0.001925898752751284,0.0
原則,21,0.001925898752751284,0.0
管理,21,0.001925898752751284,0.0
債務,20,0.001834189288334556,0.0
我國,20,0.001834189288334556,0.0
行使,20,0.001834189288334556,0.0
請求權,20,0.001834189288334556,4.0
食品,20,0.001834189288334556,0.0
以及,19,0.0017424798239178284,0.0
保險,19,0.0017424798239178284,0.0
安全,19,0.0017424798239178284,0.0
其他,18,0.0016507703595011005,0.0
法,18,0.0016507703595011005,0.0
責任,18,0.0016507703595011005,0.0
不動產,17,0.0015590608950843726,0.2
亦,17,0.0015590608950843726,0.0
惟,17,0.0015590608950843726,0.0
條文,17,0.0015590608950843726,0.0
目的,17,0.0015590608950843726,0.0
問題,16,0.001467351430667645,0.0
時效,16,0.001467351430667645,0.2
稽徵,16,0.001467351430667645,0.8
義務,16,0.001467351430667645,0.0
證券,16,0.001467351430667645,0.0
不得,15,0.001375641966250917,0.0
公司,15,0.001375641966250917,0.0
建立,15,0.001375641966250917,0.0
授權,15,0.001375641966250917,0.0
明確,15,0.001375641966250917,0.0
消費者,15,0.001375641966250917,0.0
落實,15,0.001375641966250917,0.0
交易,14,0.0012839325018341892,0.0
內容,14,0.0012839325018341892,0.0
公共,14,0.0012839325018341892,0.0
國家,14,0.0012839325018341892,0.0
實施,14,0.0012839325018341892,0.0
未,14,0.0012839325018341892,0.0
疾病,14,0.0012839325018341892,0.0
維護,14,0.0012839325018341892,0.0
罕見,14,0.0012839325018341892,0.0
課稅,14,0.0012839325018341892,0.2
財產,14,0.0012839325018341892,0.0
中央,13,0.0011922230374174616,0.0
侵害,13,0.0011922230374174616,0.0
公法,13,0.0011922230374174616,2.6
稅捐,13,0.0011922230374174616,0.4
範圍,13,0.0011922230374174616,0.0
經營,13,0.0011922230374174616,0.0
網路,13,0.0011922230374174616,0.0
行政,13,0.0011922230374174616,0.0
認定,13,0.0011922230374174616,0.0
調查,13,0.0011922230374174616,0.0
項,13,0.0011922230374174616,0.0
保護,12,0.0011005135730007337,0.0
修訂,12,0.0011005135730007337,0.0
公開,12,0.0011005135730007337,0.0
因,12,0.0011005135730007337,0.0
市,12,0.0011005135730007337,0.0
庇護,12,0.0011005135730007337,0.0
影響,12,0.0011005135730007337,0.0
必要,12,0.0011005135730007337,0.0
教育,12,0.0011005135730007337,0.0
立法,12,0.0011005135730007337,0.0
第一,12,0.0011005135730007337,0.0
納稅,12,0.0011005135730007337,0.2
義務人,12,0.0011005135730007337,2.4000000000000004
行為,12,0.0011005135730007337,0.0
進行,12,0.0011005135730007337,0.0
停止,11,0.0010088041085840058,0.0
具體,11,0.0010088041085840058,0.0
基金,11,0.0010088041085840058,0.0
如,11,0.0010088041085840058,0.0
戶,11,0.0010088041085840058,0.0
提供,11,0.0010088041085840058,0.0
機制,11,0.0010088041085840058,0.0
民眾,11,0.0010088041085840058,0.0
消滅,11,0.0010088041085840058,0.0
租稅,11,0.0010088041085840058,0.2
設施,11,0.0010088041085840058,0.0
該,11,0.0010088041085840058,0.0
靜止,11,0.0010088041085840058,0.0
事業,10,0.000917094644167278,0.0
交易所,10,0.000917094644167278,0.0
使用,10,0.000917094644167278,0.0
健康,10,0.000917094644167278,0.0
公告,10,0.000917094644167278,0.0
執行,10,0.000917094644167278,0.0
增訂本,10,0.000917094644167278,2.0
實務,10,0.000917094644167278,0.0
工場,10,0.000917094644167278,0.4
懲戒,10,0.000917094644167278,0.0
第,10,0.000917094644167278,0.0
金融,10,0.000917094644167278,0.0
人員,9,0.0008253851797505503,0.0
使,9,0.0008253851797505503,0.0
債權,9,0.0008253851797505503,0.6000000000000001
兒童,9,0.0008253851797505503,0.0
公平性,9,0.0008253851797505503,0.2
分配,9,0.0008253851797505503,0.0
同時,9,0.0008253851797505503,0.0
基礎,9,0.0008253851797505503,0.0
就業,9,0.0008253851797505503,0.0
所得稅,9,0.0008253851797505503,0.0
推動,9,0.0008253851797505503,0.0
提升,9,0.0008253851797505503,0.0
未臻,9,0.0008253851797505503,1.8
每,9,0.0008253851797505503,0.0
民法,9,0.0008253851797505503,0.0
法院,9,0.0008253851797505503,0.0
營利,9,0.0008253851797505503,0.0
皆,9,0.0008253851797505503,0.0
程序,9,0.0008253851797505503,0.0
第二,9,0.0008253851797505503,0.0
處理,9,0.0008253851797505503,0.0
訂定,9,0.0008253851797505503,0.0
費鴻泰,9,0.0008253851797505503,1.8
身心,9,0.0008253851797505503,0.0
部分,9,0.0008253851797505503,0.0
人格,8,0.0007336757153338225,0.0
依,8,0.0007336757153338225,0.0
保存,8,0.0007336757153338225,0.0
共同,8,0.0007336757153338225,0.0
兼顧,8,0.0007336757153338225,0.0
制度,8,0.0007336757153338225,0.0
參照,8,0.0007336757153338225,0.2
國際,8,0.0007336757153338225,0.0
土地,8,0.0007336757153338225,0.0
情形,8,0.0007336757153338225,0.0
拍賣,8,0.0007336757153338225,0.0
方式,8,0.0007336757153338225,0.0
最低,8,0.0007336757153338225,1.6
業者,8,0.0007336757153338225,0.0
民國,8,0.0007336757153338225,0.0
照顧,8,0.0007336757153338225,0.0
理由,8,0.0007336757153338225,0.0
由,8,0.0007336757153338225,0.0
發展,8,0.0007336757153338225,0.0
監察院,8,0.0007336757153338225,0.0
監督,8,0.0007336757153338225,0.0
稅收,8,0.0007336757153338225,0.0
老人,8,0.0007336757153338225,0.0
能力,8,0.0007336757153338225,0.0
逾,8,0.0007336757153338225,0.0
適用,8,0.0007336757153338225,0.0
降低,8,0.0007336757153338225,0.0
不僅,7,0.0006419662509170946,0.0
主要,7,0.0006419662509170946,0.0
以上,7,0.0006419662509170946,0.0
係,7,0.0006419662509170946,0.0
健全,7,0.0006419662509170946,0.0
公平,7,0.0006419662509170946,0.0
刑罰,7,0.0006419662509170946,0.2
利用,7,0.0006419662509170946,0.0
利益,7,0.0006419662509170946,0.0
勞工,7,0.0006419662509170946,0.0
包括,7,0.0006419662509170946,0.0
即,7,0.0006419662509170946,0.0
均,7,0.0006419662509170946,0.0
基本,7,0.0006419662509170946,0.0
外,7,0.0006419662509170946,0.0
大眾,7,0.0006419662509170946,0.0
契約,7,0.0006419662509170946,0.0
子女,7,0.0006419662509170946,0.0
存款,7,0.0006419662509170946,0.0
專業,7,0.0006419662509170946,0.0
弱勢,7,0.0006419662509170946,0.0
強化,7,0.0006419662509170946,0.0
提出,7,0.0006419662509170946,0.0
有效,7,0.0006419662509170946,0.0
有鑑於,7,0.0006419662509170946,0.0
有關,7,0.0006419662509170946,0.0
期間,7,0.0006419662509170946,0.0
條之二,7,0.0006419662509170946,1.4000000000000001
業務,7,0.0006419662509170946,0.0
構成,7,0.0006419662509170946,0.0
檔案,7,0.0006419662509170946,0.0
檢查,7,0.0006419662509170946,0.0
權利,7,0.0006419662509170946,0.0
比例,7,0.0006419662509170946,0.0
爭議,7,0.0006419662509170946,0.0
狀況,7,0.0006419662509170946,0.0
直轄市,7,0.0006419662509170946,0.6000000000000001
確保,7,0.0006419662509170946,0.0
第三,7,0.0006419662509170946,0.0
納入,7,0.0006419662509170946,0.0
給付,7,0.0006419662509170946,0.0
經,7,0.0006419662509170946,0.0
經濟,7,0.0006419662509170946,0.0
網站,7,0.0006419662509170946,1.4000000000000001
縣,7,0.0006419662509170946,0.0
美國,7,0.0006419662509170946,0.0
草案,7,0.0006419662509170946,0.0
要件,7,0.0006419662509170946,0.0
解釋,7,0.0006419662509170946,0.0
設置,7,0.0006419662509170946,0.0
財團法人,7,0.0006419662509170946,1.4000000000000001
資本,7,0.0006419662509170946,0.0
較,7,0.0006419662509170946,0.0
透過,7,0.0006419662509170946,0.0
避免,7,0.0006419662509170946,0.0
重劃,7,0.0006419662509170946,0.0
關鍵,7,0.0006419662509170946,0.0
防護,7,0.0006419662509170946,0.0
人工,6,0.0005502567865003668,0.0
仍,6,0.0005502567865003668,0.0
作法,6,0.0005502567865003668,0.0
具有,6,0.0005502567865003668,0.0
參酌,6,0.0005502567865003668,0.4
取得,6,0.0005502567865003668,0.0
台灣,6,0.0005502567865003668,0.0
嚴重,6,0.0005502567865003668,0.0
國民,6,0.0005502567865003668,0.0
增訂,6,0.0005502567865003668,0.2
學費,6,0.0005502567865003668,0.0
完善,6,0.0005502567865003668,0.0
實質,6,0.0005502567865003668,0.0
實際,6,0.0005502567865003668,0.0
審議,6,0.0005502567865003668,0.0
少年,6,0.0005502567865003668,0.0
得以,6,0.0005502567865003668,0.0
情況,6,0.0005502567865003668,0.0
應由,6,0.0005502567865003668,1.2000000000000002
所有權人,6,0.0005502567865003668,0.2
扣除,6,0.0005502567865003668,0.0
提高,6,0.0005502567865003668,0.0
數位,6,0.0005502567865003668,0.2
施行,6,0.0005502567865003668,0.0
期以,6,0.0005502567865003668,1.2000000000000002
未能,6,0.0005502567865003668,1.2000000000000002
案件,6,0.0005502567865003668,0.0
條例,6,0.0005502567865003668,0.0
條及,6,0.0005502567865003668,1.2000000000000002
