keyword,raw_counts,frequency,keyness
條,115,0.008929264694463855,0.0
是否,97,0.007531640655330383,0.0
本院,95,0.007376349095426664,19.0
委員,94,0.0072987033154748035,0.0
條文,93,0.007221057535522944,0.2
邱志偉,92,0.0071434117555710845,18.400000000000002
當,91,0.007065765975619225,0.0
公決,90,0.0069881201956673656,18.0
修正,79,0.006134016616196909,0.0
爰,78,0.00605637083624505,7.800000000000001
敬請,76,0.005901079276341331,1.0
者,65,0.005046975696870875,0.0
鑒於,58,0.0045034552372078575,1.4000000000000001
草案,55,0.004270517897352279,0.0
此,54,0.0041928721174004195,0.0
擬具,53,0.00411522633744856,2.6
規定,47,0.0036493516577374018,0.0
學校,36,0.002795248078266946,0.0
我國,34,0.002639956518363227,0.0
文化,34,0.002639956518363227,0.0
社會,34,0.002639956518363227,0.0
劉,33,0.002562310738411367,0.0
政府,33,0.002562310738411367,0.0
教育,33,0.002562310738411367,0.0
更,32,0.0024846649584595077,0.0
項,32,0.0024846649584595077,0.0
李昆,29,0.0022517276186039287,5.800000000000001
機關,29,0.0022517276186039287,0.0
行為,29,0.0022517276186039287,0.0
條例,28,0.0021740818386520692,0.0
何欣純,27,0.0020964360587002098,5.4
法,27,0.0020964360587002098,0.0
主管,26,0.00201879027874835,0.0
由,26,0.00201879027874835,0.0
負擔,26,0.00201879027874835,0.0
其,24,0.0018634987188446308,0.0
澤,24,0.0018634987188446308,2.4000000000000004
因,23,0.0017858529388927711,0.0
民眾,23,0.0017858529388927711,0.0
安全,22,0.0017082071589409116,0.0
應,22,0.0017082071589409116,0.0
行政,22,0.0017082071589409116,0.0
且,21,0.001630561378989052,0.0
刑法,20,0.0015529155990371922,0.2
對於,20,0.0015529155990371922,0.0
櫂,20,0.0015529155990371922,4.0
該,20,0.0015529155990371922,0.0
豪,20,0.0015529155990371922,4.0
針對,20,0.0015529155990371922,0.0
地方,19,0.0014752698190853327,0.0
學生,19,0.0014752698190853327,0.0
施行,19,0.0014752698190853327,0.0
權益,19,0.0014752698190853327,0.0
許智,19,0.0014752698190853327,1.8
影響,18,0.001397624039133473,0.0
鑑於,18,0.001397624039133473,0.0
人民,17,0.0013199782591816135,0.0
保障,17,0.0013199782591816135,0.0
國家,17,0.0013199782591816135,0.0
本法,17,0.0013199782591816135,3.4000000000000004
權利,17,0.0013199782591816135,0.0
照顧,17,0.0013199782591816135,0.0
經費,17,0.0013199782591816135,0.0
其他,16,0.0012423324792297538,0.0
未,16,0.0012423324792297538,0.0
現行,16,0.0012423324792297538,0.0
資格,16,0.0012423324792297538,0.0
陳亭妃,16,0.0012423324792297538,3.2
