keyword,raw_counts,frequency,keyness
通訊,8,0.015238095238095238,0.0
公民,6,0.011428571428571429,0.0
監聽,6,0.011428571428571429,1.2000000000000002
投票,5,0.009523809523809525,0.0
者,5,0.009523809523809525,0.0
人民,4,0.007619047619047619,0.0
保障,4,0.007619047619047619,0.0
是否,4,0.007619047619047619,0.0
法,4,0.007619047619047619,0.0
法院,4,0.007619047619047619,0.0
違法,4,0.007619047619047619,0.0
修正,3,0.005714285714285714,0.0
公決,3,0.005714285714285714,0.6000000000000001
委員,3,0.005714285714285714,0.0
對於,3,0.005714285714285714,0.0
應,3,0.005714285714285714,0.0
提出,3,0.005714285714285714,0.0
政治,3,0.005714285714285714,0.0
本院,3,0.005714285714285714,0.6000000000000001
法官,3,0.005714285714285714,0.0
特偵組,3,0.005714285714285714,0.6000000000000001
當,3,0.005714285714285714,0.0
監察,3,0.005714285714285714,0.0
自由,3,0.005714285714285714,0.0
草案,3,0.005714285714285714,0.0
運作,3,0.005714285714285714,0.0
陳唐山,3,0.005714285714285714,0.0
事項,2,0.0038095238095238095,0.0
偵查,2,0.0038095238095238095,0.0
公投,2,0.0038095238095238095,0.0
制度,2,0.0038095238095238095,0.0
嚴重,2,0.0038095238095238095,0.0
基於,2,0.0038095238095238095,0.0
審查,2,0.0038095238095238095,0.0
憲政,2,0.0038095238095238095,0.0
把關,2,0.0038095238095238095,0.0
日,2,0.0038095238095238095,0.0
更,2,0.0038095238095238095,0.0
月,2,0.0038095238095238095,0.0
本席,2,0.0038095238095238095,0.2
本法,2,0.0038095238095238095,0.4
條文,2,0.0038095238095238095,0.0
民主,2,0.0038095238095238095,0.0
爰,2,0.0038095238095238095,0.2
監察法,2,0.0038095238095238095,0.4
程序,2,0.0038095238095238095,0.0
角色,2,0.0038095238095238095,0.0
設計,2,0.0038095238095238095,0.0
認為,2,0.0038095238095238095,0.0
請,2,0.0038095238095238095,0.0
通過,2,0.0038095238095238095,0.0
連署,2,0.0038095238095238095,0.0
重大,2,0.0038095238095238095,0.0
針對,2,0.0038095238095238095,0.0
一視同仁,1,0.0019047619047619048,0.0
不公,1,0.0019047619047619048,0.0
不足,1,0.0019047619047619048,0.0
並且,1,0.0019047619047619048,0.0
主權,1,0.0019047619047619048,0.0
亦,1,0.0019047619047619048,0.0
人數,1,0.0019047619047619048,0.0
人物,1,0.0019047619047619048,0.0
介入,1,0.0019047619047619048,0.0
仍,1,0.0019047619047619048,0.0
代議,1,0.0019047619047619048,0.2
令,1,0.0019047619047619048,0.0
以下,1,0.0019047619047619048,0.0
以來,1,0.0019047619047619048,0.0
使,1,0.0019047619047619048,0.0
侵害,1,0.0019047619047619048,0.0
保留,1,0.0019047619047619048,0.0
修改,1,0.0019047619047619048,0.0
偵辦,1,0.0019047619047619048,0.0
僅能,1,0.0019047619047619048,0.2
先後,1,0.0019047619047619048,0.0
兩岸,1,0.0019047619047619048,0.0
公投案,1,0.0019047619047619048,0.2
公投法,1,0.0019047619047619048,0.2
公正,1,0.0019047619047619048,0.0
其後,1,0.0019047619047619048,0.0
其次,1,0.0019047619047619048,0.0
刑責,1,0.0019047619047619048,0.0
