word	count	freq
條  97	0.008896
本法	80  0.007337
是否	72  0.006603
委員	71  0.006511
當  70	0.006420
公決	68  0.006236
敬請	68  0.006236
本院	68  0.006236
爰  68	0.006236
賴士葆	67  0.006145
機關	56  0.005136
權益	49  0.004494
者  48	0.004402
提案	47  0.004310
針對	47  0.004310
其  46	0.004219
明定	43  0.003944
修正	42  0.003852
有鑑於此    41	0.003760
規範	40  0.003668
應  38	0.003485
政府	36  0.003302
且  35	0.003210
保障	34  0.003118
現行	31  0.002843
主管	29  0.002660
社會	29  0.002660
相關	28  0.002568
對於	27  0.002476
規定	27  0.002476
人民	25  0.002293
資訊	25  0.002293
企業	24  0.002201
法律	24  0.002201
資料	24  0.002201
個人	23  0.002109
服務	23  0.002109
信託	21  0.001926
原則	21  0.001926
管理	21  0.001926
債務	20  0.001834
我國	20  0.001834
行使	20  0.001834
請求權	20  0.001834
食品	20  0.001834
以及	19  0.001742
保險	19  0.001742
安全	19  0.001742
其他	18  0.001651
法  18	0.001651
責任	18  0.001651
不動產	17  0.001559
亦  17	0.001559
惟  17	0.001559
條文	17  0.001559
目的	17  0.001559
問題	16  0.001467
時效	16  0.001467
稽徵	16  0.001467
義務	16  0.001467
證券	16  0.001467
不得	15  0.001376
公司	15  0.001376
建立	15  0.001376
授權	15  0.001376
明確	15  0.001376
消費者	15  0.001376
落實	15  0.001376
交易	14  0.001284
內容	14  0.001284
公共	14  0.001284
國家	14  0.001284
實施	14  0.001284
未  14	0.001284
疾病	14  0.001284
維護	14  0.001284
罕見	14  0.001284
課稅	14  0.001284
財產	14  0.001284
中央	13  0.001192
侵害	13  0.001192
公法	13  0.001192
稅捐	13  0.001192
範圍	13  0.001192
經營	13  0.001192
網路	13  0.001192
行政	13  0.001192
認定	13  0.001192
調查	13  0.001192
項  13	0.001192
保護	12  0.001101
修訂	12  0.001101
公開	12  0.001101
因  12	0.001101
市  12	0.001101
庇護	12  0.001101
影響	12  0.001101
必要	12  0.001101
教育	12  0.001101
立法	12  0.001101
第一	12  0.001101
納稅	12  0.001101
義務人	12  0.001101
行為	12  0.001101
進行	12  0.001101
停止	11  0.001009
具體	11  0.001009
基金	11  0.001009
如  11	0.001009
戶  11	0.001009
提供	11  0.001009
機制	11  0.001009
民眾	11  0.001009
消滅	11  0.001009
租稅	11  0.001009
設施	11  0.001009
該  11	0.001009
靜止	11  0.001009
事業	10  0.000917
交易所	10  0.000917
使用	10  0.000917
健康	10  0.000917
公告	10  0.000917
執行	10  0.000917
增訂本	10  0.000917
實務	10  0.000917
工場	10  0.000917
懲戒	10  0.000917
第  10	0.000917
金融	10  0.000917
人員	9   0.000825
使  9	0.000825
債權	9   0.000825
兒童	9   0.000825
公平性	9   0.000825
分配	9   0.000825
同時	9   0.000825
基礎	9   0.000825
就業	9   0.000825
所得稅	9   0.000825
推動	9   0.000825
提升	9   0.000825
未臻	9   0.000825
每  9	0.000825
民法	9   0.000825
法院	9   0.000825
營利	9   0.000825
皆  9	0.000825
程序	9   0.000825
第二	9   0.000825
處理	9   0.000825
訂定	9   0.000825
費鴻泰	9   0.000825
身心	9   0.000825
部分	9   0.000825
人格	8   0.000734
依  8	0.000734
保存	8   0.000734
共同	8   0.000734
兼顧	8   0.000734
制度	8   0.000734
參照	8   0.000734
國際	8   0.000734
土地	8   0.000734
情形	8   0.000734
拍賣	8   0.000734
方式	8   0.000734
最低	8   0.000734
業者	8   0.000734
民國	8   0.000734
照顧	8   0.000734
理由	8   0.000734
由  8	0.000734
發展	8   0.000734
監察院	8   0.000734
監督	8   0.000734
稅收	8   0.000734
老人	8   0.000734
能力	8   0.000734
逾  8	0.000734
適用	8   0.000734
降低	8   0.000734
